n,growbyone.ticks
1,3
2,4
3,8
4,13
5,19
6,26
7,34
8,43
9,53
10,64
11,76
12,89
13,103
14,118
15,134
16,151
17,169
18,188
19,208
20,229
21,251
22,274
23,298
24,323
25,349
26,376
27,404
28,433
29,463
30,494
31,526
32,559
33,593
34,628
35,664
36,701
37,739
38,778
39,818
40,859
41,901
42,944
43,988
44,1033
45,1079
46,1126
47,1174
48,1223
49,1273
50,1324
51,1376
52,1429
53,1483
54,1538
55,1594
56,1651
57,1709
58,1768
59,1828
60,1889
61,1951
62,2014
63,2078
64,2143
65,2209
66,2276
67,2344
68,2413
69,2483
70,2554
71,2626
72,2699
73,2773
74,2848
75,2924
76,3001
77,3079
78,3158
79,3238
80,3319
81,3401
82,3484
83,3568
84,3653
85,3739
86,3826
87,3914
88,4003
89,4093
90,4184
91,4276
92,4369
93,4463
94,4558
95,4654
96,4751
97,4849
98,4948
99,5048
100,5149
101,5251
102,5354
103,5458
104,5563
105,5669
106,5776
107,5884
108,5993
109,6103
110,6214
111,6326
112,6439
113,6553
114,6668
115,6784
116,6901
117,7019
118,7138
119,7258
120,7379
121,7501
122,7624
123,7748
124,7873
125,7999
126,8126
127,8254
128,8383
129,8513
130,8644
131,8776
132,8909
133,9043
134,9178
135,9314
136,9451
137,9589
138,9728
139,9868
140,10009
141,10151
142,10294
143,10438
144,10583
145,10729
146,10876
147,11024
148,11173
149,11323
150,11474
151,11626
152,11779
153,11933
154,12088
155,12244
156,12401
157,12559
158,12718
159,12878
160,13039
161,13201
162,13364
163,13528
164,13693
165,13859
166,14026
167,14194
168,14363
169,14533
170,14704
171,14876
172,15049
173,15223
174,15398
175,15574
176,15751
177,15929
178,16108
179,16288
180,16469
181,16651
182,16834
183,17018
184,17203
185,17389
186,17576
187,17764
188,17953
189,18143
190,18334
191,18526
192,18719
193,18913
194,19108
195,19304
196,19501
197,19699
198,19898
199,20098
200,20299
201,20501
202,20704
203,20908
204,21113
205,21319
206,21526
207,21734
208,21943
209,22153
210,22364
211,22576
212,22789
213,23003
214,23218
215,23434
216,23651
217,23869
218,24088
219,24308
220,24529
221,24751
222,24974
223,25198
224,25423
225,25649
226,25876
227,26104
228,26333
229,26563
230,26794
231,27026
232,27259
233,27493
234,27728
235,27964
236,28201
237,28439
238,28678
239,28918
240,29159
241,29401
242,29644
243,29888
244,30133
245,30379
246,30626
247,30874
248,31123
