n,heapsort.ticks
150000,1488501
180000,1785556
210000,2083912
240000,2380315
270000,2679856
300000,2975914
330000,3273325
360000,3573186
390000,3873313
420000,4171123
450000,4465014
480000,4767485
510000,5062846
540000,5362204
570000,5661631
600000,5952119
630000,6253274
660000,6550454
690000,6850112
720000,7149203
750000,7449863
780000,7745482
810000,8041478
840000,8336307
870000,8641543
900000,8931415
930000,9232621
960000,9531544
990000,9833589
1020000,10133254
1050000,10425156
1080000,10727782
1110000,11020405
1140000,11318894
1170000,11614332
1200000,11915837
1230000,12211143
1260000,12515237
1290000,12804787
1320000,13103927
1350000,13406553
1380000,13701857
1410000,13994789
1440000,14290842
1470000,14596926
